biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
4009e0ee,8,RNA-seq,"369756,415033",hek293,unknown,unknown,hek293 cells,False,True,hek293
4725ac9a,8,RNA-seq,403993,nih3t3,thap (1µm) for 1.5hr,unknown,"thap, nih3t3 cells",False,False,nih3t3
a77ffab9,8,Ribo-seq,396698,unknown,unknown,unknown,"hela cells, ribosome protected rna",False,False,nat10-/-
3e779d44,8,Ribo-seq,396698,unknown,unknown,unknown,"hela cells, ribosome protected rna",False,False,wt
cc5768ee,8,"RNA-seq,Ribo-seq",396698,unknown,unknown,unknown,"hela cells, total rna",True,False,nat10-/-
a2a8eb9d,8,"RNA-seq,Ribo-seq",396698,unknown,unknown,unknown,"hela cells, total rna",True,False,wt
f60ee07d,8,RNA-seq,389599,bmdm,unknown,6 hours,bone marrow derived macrophage,False,False,c57bl/6
efdb6aa7,8,RNA-seq,389599,bmdm,unknown,2 hours,bone marrow derived macrophage,False,False,c57bl/6
bd8843f5,8,RNA-seq,389599,bmdm,unknown,1 hours,bone marrow derived macrophage,False,False,c57bl/6
18e112f8,8,RNA-seq,389599,bmdm,unknown,0 hours,bone marrow derived macrophage,False,False,c57bl/6
e3563c15,8,RNA-seq,379292,mcf7,cpt,unknown,mcf7,False,False,mcf7
e69e4ee3,8,RNA-seq,375080,unknown,unknown,unknown,retina,False,False,c57bl/6
d7e7cddc,8,RNA-seq,375080,unknown,unknown,unknown,lung,False,False,c57bl/6
18d131c7,8,RNA-seq,375080,unknown,unknown,unknown,kidney,False,False,c57bl/6
b4d670f6,8,RNA-seq,375080,unknown,unknown,unknown,heart,False,False,c57bl/6
a581c2e3,8,RNA-seq,375080,unknown,unknown,unknown,brain,False,False,c57bl/6
da479450,8,"RNA-seq,Ribo-seq",356772,unknown,unknown,unknown,salmonella enterica serovar thyphimurium - strain sl1344,True,False,sl1344
55547d18,8,Ribo-seq,297338,hela s3 cells,unknown,unknown,hela s3_m_ribo-seq exp1,False,False,unknown
51779559,8,RNA-seq,297338,hela s3 cells,unknown,unknown,hela s3_m_rna-seq exp2,False,False,unknown
04fdfe11,8,Ribo-seq,271437,unknown,unknown,unknown,unknown,False,False,mc2 155
054091ba,8,Ribo-seq,266079,unknown,unknown,unknown,escherichia coli str. k-12 substr. mg1655,False,False,ryhb overexpression
51d81cf5,8,Ribo-seq,266079,unknown,unknown,unknown,escherichia coli str. k-12 substr. mg1655,False,False,no ryhb expression
