Run,study_accession
SRR3296806,GSE79622
SRR2095052,PRJNA289465
SRR2095059,PRJNA289465
SRR2095064,PRJNA289465
SRR13208091,GSE162780
SRR13208092,GSE162780
SRR13208093,GSE162780
SRR13208094,GSE162780
SRR13208095,GSE162780
SRR13208096,GSE162780
SRR13208097,GSE162780
SRR13208098,GSE162780
SRR11777267,GSE150375
SRR11777268,GSE150375
SRR11777269,GSE150375
SRR11777270,GSE150375
SRR11777271,GSE150375
SRR11777272,GSE150375
SRR11777273,GSE150375
SRR11777274,GSE150375
SRR11777275,GSE150375
SRR11777276,GSE150375
SRR7214386,GSE114882
SRR7214387,GSE114882
SRR7214388,GSE114882
SRR7214389,GSE114882
SRR7214390,GSE114882
SRR7214391,GSE114882
SRR7214392,GSE114882
SRR7214393,GSE114882
SRR7214394,GSE114882
SRR7214395,GSE114882
SRR7214396,GSE114882
SRR7214397,GSE114882
SRR7214398,GSE114882
SRR7214399,GSE114882
SRR7214400,GSE114882
SRR7214401,GSE114882
SRR7214402,GSE114882
SRR7214403,GSE114882
SRR7214404,GSE114882
SRR7214405,GSE114882
SRR7214406,GSE114882
SRR7214407,GSE114882
SRR7214408,GSE114882
SRR7214409,GSE114882
SRR7214410,GSE114882
SRR7214411,GSE114882
SRR7214412,GSE114882
SRR7214413,GSE114882
SRR7214414,GSE114882
SRR7214415,GSE114882
SRR7214416,GSE114882
SRR7214417,GSE114882
SRR7214418,GSE114882
SRR7214419,GSE114882
SRR7214420,GSE114882
SRR7214421,GSE114882
SRR7214422,GSE114882
SRR7214423,GSE114882
SRR7214424,GSE114882
SRR7214425,GSE114882
SRR7214426,GSE114882
SRR7214427,GSE114882
SRR7214428,GSE114882
SRR7214429,GSE114882
SRR2078180,GSE70259
SRR2078181,GSE70259
SRR387871,PRJNA149975
SRR387872,PRJNA149975
SRR387873,PRJNA149975
SRR387874,PRJNA149975
SRR387875,PRJNA149975
SRR387876,PRJNA149975
SRR387877,PRJNA149975
SRR387878,PRJNA149975
SRR387879,PRJNA149975
SRR387880,PRJNA149975
SRR387881,PRJNA149975
SRR387882,PRJNA149975
SRR387883,PRJNA149975
SRR387884,PRJNA149975
SRR387885,PRJNA149975
SRR387886,PRJNA149975
SRR387887,PRJNA149975
SRR387888,PRJNA149975
SRR387889,PRJNA149975
SRR387890,PRJNA149975
SRR387891,PRJNA149975
SRR387892,PRJNA149975
SRR387893,PRJNA149975
SRR387894,PRJNA149975
SRR387895,PRJNA149975
SRR387896,PRJNA149975
SRR387897,PRJNA149975
SRR387898,PRJNA149975
SRR387899,PRJNA149975
SRR387900,PRJNA149975
SRR387901,PRJNA149975
SRR387902,PRJNA149975
SRR387903,PRJNA149975
SRR387904,PRJNA149975
SRR387905,PRJNA149975
SRR387906,PRJNA149975
SRR387907,PRJNA149975
SRR6441591,PRJNA428526
SRR6441592,PRJNA428526
SRR6441593,PRJNA428526
SRR6441594,PRJNA428526
SRR6441595,PRJNA428526
SRR6441596,PRJNA428526
SRR6441597,PRJNA428526
SRR6441598,PRJNA428526
SRR6441599,PRJNA428526
SRR6441600,PRJNA428526
SRR6441601,PRJNA428526
SRR6441602,PRJNA428526
SRR6441603,PRJNA428526
SRR6441604,PRJNA428526
SRR6441605,PRJNA428526
SRR6441606,PRJNA428526
SRR6441607,PRJNA428526
SRR6441608,PRJNA428526
SRR6441609,PRJNA428526
SRR6441610,PRJNA428526
SRR6441611,PRJNA428526
SRR6441612,PRJNA428526
SRR6441613,PRJNA428526
SRR6441614,PRJNA428526
SRR6441615,PRJNA428526
SRR6441616,PRJNA428526
SRR6441617,PRJNA428526
SRR6441618,PRJNA428526
SRR6441619,PRJNA428526
SRR6441620,PRJNA428526
SRR6441621,PRJNA428526
SRR6441622,PRJNA428526
SRR6441623,PRJNA428526
SRR6441624,PRJNA428526
SRR6441625,PRJNA428526
SRR6441626,PRJNA428526
SRR6441627,PRJNA428526
SRR6441628,PRJNA428526
SRR6441670,PRJNA428526
SRR6441671,PRJNA428526
SRR6441672,PRJNA428526
SRR6441673,PRJNA428526
SRR6441674,PRJNA428526
SRR6441675,PRJNA428526
SRR6441676,PRJNA428526
SRR6441677,PRJNA428526
SRR6441678,PRJNA428526
SRR6441679,PRJNA428526
SRR6441680,PRJNA428526
SRR6441681,PRJNA428526
SRR6441682,PRJNA428526
SRR6441683,PRJNA428526
ERR2660262,PRJEB27418
ERR2660263,PRJEB27418
ERR2660266,PRJEB27418
ERR2660267,PRJEB27418
ERR2681846,PRJEB27604
ERR2681847,PRJEB27604
ERR2681848,PRJEB27604
ERR2681849,PRJEB27604
ERR2681850,PRJEB27604
ERR2681851,PRJEB27604
ERR3218426,PRJEB31666
ERR3218427,PRJEB31666
ERR3218430,PRJEB31666
ERR3218431,PRJEB31666
ERR3218434,PRJEB31666
ERR3218435,PRJEB31666
ERR3218438,PRJEB31666
ERR3218439,PRJEB31666
ERR4164643,PRJEB38391
ERR4164644,PRJEB38391
ERR4164645,PRJEB38391
ERR4164646,PRJEB38391
ERR4164647,PRJEB38391
ERR4164648,PRJEB38391
SRR950450,PRJNA214730
SRR950452,PRJNA214730
SRR1585892,PRJNA262036
SRR1585893,PRJNA262036
SRR1585896,PRJNA262036
SRR1585897,PRJNA262036
SRR1585900,PRJNA262036
SRR1585901,PRJNA262036
SRR1585904,PRJNA262036
SRR1585905,PRJNA262036
SRR1585908,PRJNA262036
SRR1585909,PRJNA262036
SRR1585912,PRJNA262036
SRR1585913,PRJNA262036
SRR1585916,PRJNA262036
SRR1585917,PRJNA262036
SRR1585920,PRJNA262036
SRR1585921,PRJNA262036
SRR1585924,PRJNA262036
SRR1585925,PRJNA262036
SRR1585926,PRJNA262036
SRR1585927,PRJNA262036
SRR1585928,PRJNA262036
SRR1585929,PRJNA262036
SRR1585930,PRJNA262036
SRR1585931,PRJNA262036
SRR1585934,PRJNA262036
SRR1585935,PRJNA262036
SRR3312945,PRJNA262036
SRR3312946,PRJNA262036
SRR3312949,PRJNA262036
SRR3312950,PRJNA262036
SRR3312953,PRJNA262036
SRR3312954,PRJNA262036
SRR5945809,PRJNA399079
SRR6125812,PRJNA412874
SRR6125813,PRJNA412874
SRR6125814,PRJNA412874
SRR6125815,PRJNA412874
SRR6125816,PRJNA412874
SRR6125817,PRJNA412874
SRR6125818,PRJNA412874
SRR6125819,PRJNA412874
SRR6125820,PRJNA412874
SRR6348553,PRJNA421178
SRR6348554,PRJNA421178
SRR6348555,PRJNA421178
SRR6348556,PRJNA421178
SRR6348557,PRJNA421178
SRR6348558,PRJNA421178
SRR6348559,PRJNA421178
SRR6348560,PRJNA421178
SRR6348561,PRJNA421178
SRR6348562,PRJNA421178
SRR6348563,PRJNA421178
SRR6348564,PRJNA421178
SRR6348565,PRJNA421178
SRR6348566,PRJNA421178
SRR6348567,PRJNA421178
SRR6348568,PRJNA421178
SRR6502800,PRJNA430526
SRR6502801,PRJNA430526
SRR6502802,PRJNA430526
SRR6502803,PRJNA430526
SRR7291413,PRJNA430526
SRR7291414,PRJNA430526
SRR7291415,PRJNA430526
SRR7291416,PRJNA430526
SRR7291417,PRJNA430526
SRR7291418,PRJNA430526
SRR7291419,PRJNA430526
SRR7291420,PRJNA430526
SRR7291421,PRJNA430526
SRR7291422,PRJNA430526
SRR6792605,PRJNA436358
SRR6792606,PRJNA436358
SRR6792607,PRJNA436358
SRR6792608,PRJNA436358
SRR6792613,PRJNA436358
SRR6792614,PRJNA436358
SRR6792615,PRJNA436358
SRR6792616,PRJNA436358
SRR6792617,PRJNA436358
SRR6792618,PRJNA436358
SRR6792625,PRJNA436358
SRR6792626,PRJNA436358
SRR6792627,PRJNA436358
SRR6792628,PRJNA436358
SRR6792629,PRJNA436358
SRR6792630,PRJNA436358
SRR7215536,PRJNA472988
SRR7215537,PRJNA472988
SRR7215538,PRJNA472988
SRR7215539,PRJNA472988
SRR7215540,PRJNA472988
SRR7215541,PRJNA472988
SRR7215548,PRJNA472988
SRR7215549,PRJNA472988
SRR7215550,PRJNA472988
SRR7215551,PRJNA472988
SRR7215552,PRJNA472988
SRR7215553,PRJNA472988
SRR7215554,PRJNA472988
SRR7215555,PRJNA472988
SRR7241903,PRJNA473987
SRR7241904,PRJNA473987
SRR7241905,PRJNA473987
SRR7241907,PRJNA473987
SRR7241908,PRJNA473987
SRR7241909,PRJNA473987
SRR8093860,PRJNA473987
SRR7265174,PRJNA474715
SRR7265208,PRJNA474715
SRR7265209,PRJNA474715
SRR7265210,PRJNA474715
SRR7265211,PRJNA474715
SRR7265212,PRJNA474715
SRR7265213,PRJNA474715
SRR7265214,PRJNA474715
SRR7265215,PRJNA474715
SRR7265216,PRJNA474715
SRR7265217,PRJNA474715
SRR7265218,PRJNA474715
SRR8142347,PRJNA503203
SRR8142349,PRJNA503203
SRR8142351,PRJNA503203
SRR8142353,PRJNA503203
SRR8142355,PRJNA503203
SRR8142357,PRJNA503203
SRR8142359,PRJNA503203
SRR8142361,PRJNA503203
SRR8142363,PRJNA503203
SRR8756003,PRJNA528192
SRR8756004,PRJNA528192
SRR8756005,PRJNA528192
SRR8756006,PRJNA528192
SRR8756007,PRJNA528192
SRR8756008,PRJNA528192
SRR8756009,PRJNA528192
SRR8756010,PRJNA528192
SRR8756011,PRJNA528192
SRR8756012,PRJNA528192
SRR8756013,PRJNA528192
SRR8756014,PRJNA528192
SRR8756015,PRJNA528192
SRR8830769,PRJNA530200
SRR8830770,PRJNA530200
SRR8830774,PRJNA530200
SRR8830775,PRJNA530200
SRR8830776,PRJNA530200
SRR8830777,PRJNA530200
SRR8830779,PRJNA530200
SRR8830780,PRJNA530200
SRR9309991,PRJNA530200
SRR9309992,PRJNA530200
SRR9309993,PRJNA530200
SRR9309994,PRJNA530200
SRR9309995,PRJNA530200
SRR9309996,PRJNA530200
SRR9309997,PRJNA530200
SRR9309998,PRJNA530200
SRR9309999,PRJNA530200
SRR9310000,PRJNA530200
SRR9897233,PRJNA558435
SRR9897234,PRJNA558435
SRR9897235,PRJNA558435
SRR9897236,PRJNA558435
SRR9897237,PRJNA558435
SRR9897238,PRJNA558435
SRR9897239,PRJNA558435
SRR9897264,PRJNA558435
SRR9897265,PRJNA558435
SRR9897266,PRJNA558435
SRR9897267,PRJNA558435
SRR9897268,PRJNA558435
SRR9897269,PRJNA558435
SRR9897270,PRJNA558435
SRR9897271,PRJNA558435
