Run,study_accession
SRR8730344,PRJNA527127
SRR8730345,PRJNA527127
SRR8730346,PRJNA527127
SRR8730347,PRJNA527127
SRR8730348,PRJNA527127
SRR8730349,PRJNA527127
SRR8730350,PRJNA527127
SRR8730351,PRJNA527127
SRR8730352,PRJNA527127
SRR8730353,PRJNA527127
SRR8730354,PRJNA527127
SRR8730355,PRJNA527127
SRR8730356,PRJNA527127
SRR8730357,PRJNA527127
SRR8730290,PRJNA527113
SRR8730291,PRJNA527113
SRR8731920,PRJNA526529
SRR8649954,PRJNA525090
SRR8649955,PRJNA525090
SRR8649956,PRJNA525090
SRR8649960,PRJNA525090
SRR8649961,PRJNA525090
SRR8649962,PRJNA525090
SRR8590754,PRJNA523167
SRR8590755,PRJNA523167
SRR8590756,PRJNA523167
SRR8590757,PRJNA523167
SRR8590758,PRJNA523167
SRR8590759,PRJNA523167
SRR8590766,PRJNA523167
SRR8590767,PRJNA523167
SRR8590768,PRJNA523167
SRR8590769,PRJNA523167
SRR8590778,PRJNA523167
SRR8590779,PRJNA523167
SRR8590780,PRJNA523167
SRR8590781,PRJNA523167
SRR8590782,PRJNA523167
SRR8590783,PRJNA523167
SRR8590790,PRJNA523167
SRR8590791,PRJNA523167
SRR8590794,PRJNA523167
SRR8590795,PRJNA523167
SRR8590796,PRJNA523167
SRR8590797,PRJNA523167
SRR8590798,PRJNA523167
SRR8590799,PRJNA523167
SRR8590800,PRJNA523167
SRR8590801,PRJNA523167
SRR8590802,PRJNA523167
SRR8590812,PRJNA523167
SRR8590813,PRJNA523167
SRR8558080,PRJNA521751
SRR8558081,PRJNA521751
SRR8558082,PRJNA521751
SRR8558083,PRJNA521751
SRR8558084,PRJNA521751
SRR8558085,PRJNA521751
SRR8550319,PRJNA521496
SRR8550320,PRJNA521496
SRR8535409,PRJNA521077
SRR8535410,PRJNA521077
SRR8535411,PRJNA521077
SRR8535412,PRJNA521077
SRR8535423,PRJNA521077
SRR8535424,PRJNA521077
SRR8445000,PRJNA515289
SRR8445001,PRJNA515289
SRR8445002,PRJNA515289
SRR8445003,PRJNA515289
SRR8443308,PRJNA515197
SRR8443309,PRJNA515197
SRR8443310,PRJNA515197
SRR8443311,PRJNA515197
SRR8443312,PRJNA515197
SRR8443313,PRJNA515197
SRR8404134,PRJNA513305
SRR8404135,PRJNA513305
SRR8404136,PRJNA513305
SRR8404137,PRJNA513305
SRR8404138,PRJNA513305
SRR8404139,PRJNA513305
SRR8404140,PRJNA513305
SRR8404141,PRJNA513305
