Scientific_name	Accession
Eulithis_testata	GCA_947507515.1
Eupithecia_abbreviata	GCA_943735965.1
Eupithecia_centaureata	GCA_944547425.1
Eupithecia_dodoneata	GCA_947044415.1
Eupithecia_exiguata	GCA_947086465.1
Eupithecia_insigniata	GCA_947859395.1
Eupithecia_inturbata	GCA_963662085.1
Eupithecia_phoeniceata	GCA_964204885.1
Eupithecia_pulchellata	GCA_963931895.1
Eupithecia_subumbrata	GCA_949316285.1
Eupithecia_tripunctaria	GCA_955876795.1
Euplexia_lucipara	GCA_921972225.1
Euproctis_similis	GCA_905147225.1
Eupsilia_transversa	GCA_914767815.1
Euspilapteryx_auroguttella	GCA_951802225.1
Euzophera_pinguis	GCA_947363495.1
Fabriciana_adippe	GCA_905404265.1
Falcaria_lacertinaria	GCA_951449985.1
Fissipunctia_ypsillon	GCA_947568875.1
Furcula_furcula	GCA_911728495.1
Galleria_mellonella	GCA_958496185.1
Gandaritis_pyraliata	GCA_947859175.1
Glaucopsyche_alexis	GCA_905404095.1
Globia_sparganii	GCA_949316385.1
Grapholita_molesta	GCA_022674325.1
Griposia_aprilina	GCA_916610205.1
Habrosyne_pyritoides	GCA_907165245.1
Hecatera_dysodea	GCA_905332915.2
Hedya_pruniana	GCA_964197955.1
Hedya_salicella	GCA_905404275.2
Heliconius_sara	GCA_917862395.1
Helicoverpa_zea	GCA_022581195.1
Hemaris_fuciformis	GCA_907164865.1
Hemistola_chrysoprasaria	GCA_947063395.1
Hemithea_aestivaria	GCA_947507615.1
Herminia_tarsipennalis	GCA_945859575.2
Hesperia_comma	GCA_905404135.1
Hestina_assimilis	GCA_023373885.1
Hipparchia_semele	GCA_933228805.1
Hoplodrina_ambigua	GCA_949774945.1
Hoplodrina_blanda	GCA_949316365.1
Hydraecia_micacea	GCA_914767645.1
Hydriomena_furcata	GCA_912999785.1
Hylaea_fasciaria	GCA_905147375.1
Hyles_euphorbiae	GCA_023078785.1
Hyles_vespertilio	GCA_009982885.1
Hypena_proboscidalis	GCA_905147285.1
Hypercompe_scribonia	GCA_949316085.1
Hypomecis_atomaria	GCA_964007245.1
Hypomecis_punctinalis	GCA_949316475.1
Hyppa_rectilinea	GCA_951799385.1
Hypsopygia_costalis	GCA_937001555.2
Idaea_aversata	GCA_907269075.1
Idaea_dimidiata	GCA_949358125.1
Idaea_straminata	GCA_951213275.1
Incurvaria_masculella	GCA_946894095.1
Iphiclides_podalirius	GCA_933534255.1
Lacanobia_wlatinum	GCA_947578705.1
Lampropteryx_suffumata	GCA_948098915.1
