biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,is_cross_modal,is_cross_study,cap_selection_method,fractionation_method,replicate,translation_inhibitor
ea13e417,24,RNA-seq,1099202,B lymphoblast,unknown,unknown,False,False,,,unknown,
58c97438,24,RNA-seq,"1080485,1080486",governing cell,control,unknown,False,True,,,unknown,
23b351cd,24,RNA-seq,1076517,Cervical Cancer,Transfected with 18S:WT,unknown,False,False,,,unknown,
8bee9e89,24,RNA-seq,"1069987,1071172",epithelial,Arsenite for 2 hours,unknown,False,True,,,unknown,
13cb5475,24,RNA-seq,"1069987,1071172",epithelial,water for 2 hours,unknown,False,True,,,unknown,
996f6376,24,RNA-seq,1068083,enteric neurons,unknown,unknown,False,False,,,unknown,
eaf1d589,24,"Ribo-seq,RNA-seq","1060294,894460",Primary astrocytes,Untreated,unknown,True,True,,unknown,unknown,unknown
32b9180e,24,RNA-seq,1017399,tachyzoites,unknown,unknown,False,False,,,unknown,
2c218277,24,RNA-seq,1008741,hepatocellular carcinoma cell line,50 nM Torin1 for 12 hr,unknown,False,False,,,,
ba52780d,24,RNA-seq,1008741,hepatocellular carcinoma cell line,NA,unknown,False,False,,,,
ee728e4d,24,RNA-seq,1008576,unknown,CT,unknown,False,False,,,unknown,
54d4a393,24,RNA-seq,982760,mouse embryonic stem cell,cardiomyocyte differentiation,unknown,False,False,,,,
83cf16d0,24,RNA-seq,"978024,978023",NAFLD-HCC,unknown,unknown,False,True,,,unknown,
f714b64b,24,RNA-seq,977673,cardiomyocyte,AngII+Si-NAT10,unknown,False,False,,,unknown,
79c8e700,24,RNA-seq,977673,cardiomyocyte,AngII,unknown,False,False,,,unknown,
afbd132c,24,RNA-seq,977673,cardiomyocyte,Myocardial hypertrophy,unknown,False,False,,,unknown,
d6253c48,24,RNA-seq,977673,cardiomyocyte,Non-myocardial hypertrophy,unknown,False,False,,,unknown,
03d9e803,24,RNA-seq,971237,unknown,female,unknown,False,False,,,unknown,
c58fa153,24,"Ribo-seq,RNA-seq","970317,885130,655835",HEK293T,,unknown,True,True,,unknown,,unknown
c8cf0fc9,24,"Ribo-seq,RNA-seq","918680,918681",infected cells,SARS-CoV-2 infection,7 days post-infection,True,True,,unknown,,unknown
75967313,24,"Ribo-seq,RNA-seq","918680,918681",infected cells,SARS-CoV-2 infection,5 days post-infection,True,True,,unknown,,unknown
d61be7d2,24,"Ribo-seq,RNA-seq","918680,918681",infected cells,SARS-CoV-2 infection,2 days post-infection,True,True,,unknown,,unknown
8623d2f0,24,"Ribo-seq,RNA-seq","918680,918681",infected cells,SARS-CoV-2 infection,1 day post-infection,True,True,,unknown,,unknown
fc18ee1d,24,RNA-seq,877653,somatic,unknown,unknown,False,False,,,,
982edd55,24,"Ribo-seq,RNA-seq",794153,unknown,unknown,6 h,True,False,,unknown,,unknown
d321d7d0,24,"Ribo-seq,RNA-seq",794153,unknown,unknown,3 h,True,False,,unknown,,unknown
50749f1a,24,"Ribo-seq,RNA-seq",794153,unknown,unknown,0 h,True,False,,unknown,,unknown
0026347c,24,"Ribo-seq,RNA-seq",763584,unknown,starved for 6 days and refed with food for 60 min,60 min,True,False,,,,
